filename,cluster_label
../Dataset\ISIC_Melanoma_Data\benign\1119.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1120.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1121.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1122.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1123.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1124.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1127.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1128.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1129.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1131.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1132.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1133.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1136.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1137.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1138.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1140.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1141.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1142.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1144.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1145.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1147.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1148.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1149.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1150.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1152.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1153.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1154.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1156.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1157.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1158.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1159.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1160.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1161.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1162.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1163.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1164.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1165.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1167.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1168.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1169.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1171.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1172.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1174.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1175.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1176.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1178.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1179.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1181.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1182.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1184.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1185.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1186.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1187.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1188.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1189.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1190.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1192.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1193.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1194.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1195.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1196.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1197.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1198.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1199.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1201.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1202.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1204.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1205.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1206.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1207.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1209.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1210.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1211.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1212.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1213.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1216.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1217.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1218.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1219.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1220.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1221.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1222.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1223.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1224.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1225.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1227.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1228.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1229.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1230.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1232.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1233.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1234.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1235.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1236.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1237.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1238.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1239.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1240.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1241.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1245.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1246.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1247.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1248.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1249.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1250.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1251.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1252.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1254.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1255.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1256.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1257.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1258.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1259.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1260.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1262.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1263.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1264.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1267.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1268.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1270.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1271.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1272.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1274.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1275.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1279.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1280.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1281.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1282.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1283.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1284.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1285.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1286.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1287.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1289.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1291.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1292.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1293.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1294.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1295.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1296.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1298.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1300.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1301.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1302.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1303.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1304.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1305.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1306.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1307.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1308.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1309.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1311.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1312.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1313.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1314.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1315.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1316.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1317.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1318.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1320.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1323.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1324.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1325.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1326.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1327.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1328.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1329.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1330.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1331.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1332.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1333.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1335.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1336.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1337.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1338.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1339.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1340.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1341.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1344.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1345.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1346.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1347.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1348.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1349.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1351.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1352.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1353.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1355.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1356.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1358.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1360.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1361.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1363.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1364.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1366.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1368.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1369.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1370.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1371.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1372.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1374.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1375.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1379.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1380.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1382.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1383.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1384.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1385.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1386.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1387.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1388.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1389.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1390.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1391.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1392.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1394.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1395.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1396.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1397.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1398.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1399.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1402.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1403.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1404.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1405.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1406.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1407.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1408.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1410.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1411.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1413.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1414.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1416.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1417.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1418.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1419.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1420.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1421.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1422.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1423.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1424.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1425.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1426.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1427.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1428.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1429.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1430.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1431.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1432.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1433.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1434.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1435.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1436.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1437.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1438.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1439.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1440.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1442.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1444.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1446.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1447.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1449.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1450.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1451.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1452.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1453.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1454.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1455.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1456.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1457.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1458.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1459.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1460.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1461.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1462.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1463.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1464.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1465.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1467.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1469.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1470.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1472.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1474.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1475.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1476.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1477.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1478.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1480.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1482.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1484.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1486.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1487.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1489.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1490.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1491.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1493.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1494.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1495.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1496.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1497.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1498.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1500.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1501.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1503.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1504.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1505.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1506.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1507.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1508.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1509.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1510.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1511.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1512.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1513.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1515.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1517.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1518.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1520.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1522.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1523.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1524.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1525.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1526.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1527.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1528.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1529.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1531.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1532.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1533.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1534.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1535.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1536.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1539.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1540.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1541.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1542.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1543.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1544.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1546.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1547.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1548.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1549.jpg,5
